Estado,X,Y,UF
Acre,-330,100,AC
Alagoas,266,78,AL
Amazonas,-233,170,AM
Amapá,-1,273,AP
Bahia,167,21,BA
Ceará,213,157,CE
Distrito Federal,73,-28,DF
Espírito Santo,196,-99,ES
Goiás,42,-36,GO
Maranhão,116,160,MA
Mato Grosso,-69,18,MT
Mato Grosso Do Sul,-46,-112,MS
Minas Gerais,127,-83,MG
Pará,-19,165,PA
Paraíba,266,122,PB
Paraná,2,-180,PR
Piauí,158,115,PI
Pernambuco,233,101,PE
Rio De Janeiro,163,-146,RJ
Rio Grande Do Norte,264,147,RN
Rio Grande Do Sul,-17,-272,RS
Rondônia,-190,58,RO
Roraima,-155,278,RR
São Paulo,60,-145,SP
Santa Catarina,24,-235,SC
Sergipe,250,64,SE
Tocantins,60,71,TO
